calendar_year,gender,dept_name,nb_starts,nb_ends,var
1985,F,"Customer Service",1,0,1
1985,F,Finance,1,0,1
1985,F,"Human Resources",2,0,2
1985,F,Production,2,0,2
1985,F,"Quality Management",1,0,1
1985,M,Development,1,0,1
1985,M,Finance,1,0,1
1985,M,Marketing,1,0,1
1985,M,Research,1,0,1
1985,M,Sales,1,0,1
1986,F,Development,1,0,1
1986,F,"Quality Management",1,0,1
1986,M,Marketing,1,0,1
1986,M,Sales,1,0,1
1988,F,"Customer Service",1,0,1
1988,F,Research,1,0,1
1988,M,Production,1,0,1
1989,F,"Quality Management",1,0,1
1989,M,"Customer Service",1,0,1
1989,M,"Quality Management",1,0,1
1990,F,"Customer Service",1,0,1
1990,M,Development,1,0,1
1990,M,Production,2,0,2
1990,M,"Quality Management",2,0,2
1990,M,Sales,1,0,1
1991,F,"Customer Service",1,0,1
1991,F,Sales,1,0,1
1991,M,"Customer Service",1,0,1
1991,M,Marketing,2,0,2
1991,M,Production,2,0,2
1991,M,"Quality Management",2,0,2
1991,M,Sales,2,0,2
1992,F,Development,1,0,1
1992,F,"Human Resources",1,0,1
1992,F,Marketing,1,0,1
1992,F,"Quality Management",1,0,1
1992,M,"Customer Service",2,0,2
1992,M,Development,1,0,1
1992,M,"Human Resources",1,0,1
1992,M,Production,2,1,1
1992,M,Research,1,0,1
1992,M,Sales,2,0,2
1993,F,"Customer Service",1,0,1
1993,F,Finance,1,0,1
1993,F,"Human Resources",1,0,1
1993,F,Marketing,2,0,2
1993,F,"Quality Management",2,0,2
1993,F,Research,1,0,1
1993,F,Sales,1,0,1
1993,M,Development,1,0,1
1993,M,Finance,2,0,2
1993,M,"Human Resources",1,0,1
1993,M,Marketing,1,0,1
1993,M,Production,2,1,1
1993,M,"Quality Management",1,0,1
1993,M,Research,1,0,1
1993,M,Sales,1,0,1
1994,F,"Customer Service",2,0,2
1994,F,Development,1,0,1
1994,F,"Human Resources",1,0,1
1994,F,"Quality Management",1,0,1
1994,F,Research,1,0,1
1994,M,"Customer Service",1,0,1
1994,M,Development,1,1,0
1994,M,Finance,1,0,1
1994,M,"Human Resources",1,0,1
1994,M,Marketing,1,0,1
1994,M,"Quality Management",3,1,2
1994,M,Research,1,0,1
1994,M,Sales,2,0,2
1995,F,"Customer Service",1,0,1
1995,F,Development,1,0,1
1995,F,Finance,2,0,2
1995,F,Marketing,1,0,1
1995,F,Production,1,0,1
1995,F,Sales,1,0,1
1995,M,"Customer Service",1,0,1
1995,M,Development,1,0,1
1995,M,Finance,1,0,1
1995,M,"Human Resources",2,0,2
1995,M,Marketing,1,0,1
1995,M,"Quality Management",1,1,0
1995,M,Research,1,0,1
1995,M,Sales,2,1,1
1996,F,Marketing,1,0,1
1996,F,"Quality Management",1,0,1
1996,F,Research,1,0,1
1996,M,"Customer Service",2,0,2
1996,M,Finance,1,0,1
1996,M,"Human Resources",1,0,1
1996,M,Production,1,2,-1
1996,M,Research,1,0,1
1996,M,Sales,1,1,0
1997,F,"Customer Service",1,0,1
1997,F,Development,1,0,1
1997,F,Sales,1,0,1
1997,M,Finance,2,0,2
1997,M,"Human Resources",2,0,2
1997,M,Research,2,0,2
1998,F,Development,1,0,1
1998,F,Marketing,1,1,0
1998,M,"Customer Service",1,2,-1
1998,M,Finance,1,0,1
1998,M,Production,1,2,-1
1998,M,"Quality Management",1,1,0
1999,F,"Customer Service",2,2,0
1999,F,Development,1,0,1
1999,F,Research,1,1,0
1999,M,Development,1,0,1
1999,M,Finance,1,1,0
1999,M,Marketing,1,2,-1
1999,M,Sales,1,2,-1
2000,F,"Customer Service",1,1,0
2000,F,"Human Resources",1,2,-1
2000,F,Sales,1,0,1
2000,M,"Customer Service",1,3,-2
2000,M,Finance,1,2,-1
