calendar_year,gender,dept_name,total_salary,nb_employees
1990,F,"Customer Service",6498072,145
1990,F,Development,25314023,555
1990,F,Finance,5763222,102
1990,F,"Human Resources",4220218,103
1990,F,Marketing,6882997,120
1990,F,Production,21124659,468
1990,F,"Quality Management",5520437,127
1990,F,Research,5687712,121
1990,F,Sales,22932559,340
1990,M,"Customer Service",9326952,210
1990,M,Development,36199574,791
1990,M,Finance,9684118,168
1990,M,"Human Resources",6272729,153
1990,M,Marketing,9953398,169
1990,M,Production,30556612,675
1990,M,"Quality Management",7824507,182
1990,M,Research,8814647,189
1990,M,Sales,33437226,496
1990,Unknown,"Customer Service",134723615,2682
1990,Unknown,Development,503789939,9843
1990,Unknown,Finance,124379594,2005
1990,Unknown,"Human Resources",95181766,2021
1990,Unknown,Marketing,145956399,2281
1990,Unknown,Production,432948851,8458
1990,Unknown,"Quality Management",110130101,2249
1990,Unknown,Research,124393184,2407
1990,Unknown,Sales,427544011,5912
1991,F,"Customer Service",12933633,287
1991,F,Development,48907796,1049
1991,F,Finance,12458525,213
1991,F,"Human Resources",8454748,199
1991,F,Marketing,14129200,245
1991,F,Production,41215177,890
1991,F,"Quality Management",9944794,223
1991,F,Research,11227999,239
1991,F,Sales,44196841,657
1991,M,"Customer Service",20501825,450
1991,M,Development,73435393,1576
1991,M,Finance,18790035,333
1991,M,"Human Resources",13661226,324
1991,M,Marketing,21383024,361
1991,M,Production,61913375,1333
1991,M,"Quality Management",16370342,362
1991,M,Research,17706952,378
1991,M,Sales,66092966,960
1991,Unknown,"Customer Service",145740025,2816
1991,Unknown,Development,543227848,10294
1991,Unknown,Finance,133523203,2104
1991,Unknown,"Human Resources",103289372,2131
1991,Unknown,Marketing,156573965,2393
1991,Unknown,Production,467981393,8870
1991,Unknown,"Quality Management",121477368,2410
1991,Unknown,Research,135102902,2538
1991,Unknown,Sales,457925855,6195
1992,F,"Customer Service",20313072,433
1992,F,Development,74970064,1582
1992,F,Finance,18321948,313
1992,F,"Human Resources",13144288,300
1992,F,Marketing,21452115,359
1992,F,Production,63739829,1350
1992,F,"Quality Management",15927544,347
1992,F,Research,17244215,362
1992,F,Sales,67650133,990
1992,M,"Customer Service",31444117,668
1992,M,Development,113119643,2375
1992,M,Finance,28739247,493
1992,M,"Human Resources",21138625,488
1992,M,Marketing,32440495,543
1992,M,Production,95165513,2000
1992,M,"Quality Management",24006132,524
1992,M,Research,28498608,602
1992,M,Sales,98385426,1413
1992,Unknown,"Customer Service",158206081,2973
1992,Unknown,Development,587387708,10842
1992,Unknown,Finance,143107405,2199
1992,Unknown,"Human Resources",111582354,2236
1992,Unknown,Marketing,169852219,2543
1992,Unknown,Production,503845277,9284
1992,Unknown,"Quality Management",130649671,2516
1992,Unknown,Research,146434436,2679
1992,Unknown,Sales,493558232,6555
1993,F,"Customer Service",26857457,553
1993,F,Development,100419611,2070
1993,F,Finance,24892961,418
1993,F,"Human Resources",18346724,406
1993,F,Marketing,29161163,479
1993,F,Production,85376904,1761
1993,F,"Quality Management",21203991,454
1993,F,Research,23419557,482
1993,F,Sales,90057397,1299
